onset	duration	trial_type	trial_type_id	question_type	response_time	accuracy	stim_id
12	14	Photo	2	1	2.747430718999567	1	photo_story18
38	14	Belief	1	2	2.563320772999759	1	belief_story20
64	14	Photo	2	2	2.41113522500018	1	photo_story15
90	14	Belief	1	2	2.236422465000032	1	belief_story13
116	14	Belief	1	2	3.147433705999902	1	belief_story21
142	14	Photo	2	1	3.812209783000071	0	photo_story24
168	14	Photo	2	2	3.003404555000088	1	photo_story14
194	14	Belief	1	2	2.060367209000106	1	belief_story19
220	14	Belief	1	2	2.459818516999803	1	belief_story14
246	14	Photo	2	1	2.979325733999758	1	photo_story16
272	14	Belief	1	1	2.203389845999482	1	belief_story16
298	14	Photo	2	1	2.05182042100023	1	photo_story23
